영등포구,Date
431.5348061456183,2023-01-01
332.3326614995169,2023-02-01
338.59591333245777,2023-03-01
422.67440265455446,2023-04-01
450.4618179443093,2023-05-01
508.5242209430373,2023-06-01
477.50905886806663,2023-07-01
481.937122697873,2023-08-01
366.44348576612083,2023-09-01
340.09040369403397,2023-10-01
667.0727911012013,2023-11-01
345.0683443254778,2023-12-01
495.5730636981586,2024-01-01
401.0108746665907,2024-02-01
489.105008306174,2024-03-01
463.9799448896081,2024-04-01
498.91872990752586,2024-05-01
454.1359165298645,2024-06-01
541.8668133318132,2024-07-01
528.2825422762044,2024-08-01
432.5453759492049,2024-09-01
413.0564246930995,2024-10-01
545.5725226143261,2024-11-01
571.5331395615405,2024-12-01
452.28216425394385,2025-01-01
339.2045941553305,2025-02-01
487.97511067074834,2025-03-01
498.38500497573585,2025-04-01
530.8584393417718,2025-05-01
520.9095942115692,2025-06-01
569.5670362204269,2025-07-01
561.659862003819,2025-08-01
459.1152931101443,2025-09-01
436.64412128379223,2025-10-01
635.2312231340721,2025-11-01
544.801749456715,2025-12-01
514.3640703043915,2026-01-01
408.9851822908298,2026-02-01
486.4259376419851,2026-03-01
533.2455552979761,2026-04-01
563.3409149486098,2026-05-01
587.6837373752013,2026-06-01
596.7467833571621,2026-07-01
594.8415999620296,2026-08-01
485.7093044426898,2026-09-01
460.9549628052787,2026-10-01
724.3790566809586,2026-11-01
517.9294115210882,2026-12-01
