¿ë»ê±¸,Date
278.32650577927006,2023-01-01
221.1928649198495,2023-02-01
192.3345116843419,2023-03-01
191.1852175677477,2023-04-01
286.8681477907476,2023-05-01
379.0077806475364,2023-06-01
382.1423899688849,2023-07-01
320.1382441664529,2023-08-01
221.54825039140562,2023-09-01
234.53030225404532,2023-10-01
342.7833106910819,2023-11-01
326.326067366932,2023-12-01
345.73856514167306,2024-01-01
284.7456806581284,2024-02-01
326.1274248355846,2024-03-01
352.1941232026985,2024-04-01
320.60586899609774,2024-05-01
315.34330440141525,2024-06-01
344.0026953902365,2024-07-01
324.81450375766957,2024-08-01
385.2432024944718,2024-09-01
342.13962499358917,2024-10-01
355.06791120079566,2024-11-01
349.44985236919877,2024-12-01
298.2282500194064,2025-01-01
245.6452614100277,2025-02-01
333.8993539276916,2025-03-01
349.4750654542682,2025-04-01
359.45460141314726,2025-05-01
387.39874823307855,2025-06-01
408.7862090979316,2025-07-01
376.0524564084782,2025-08-01
382.87630281876415,2025-09-01
356.98466776890916,2025-10-01
401.6531622394415,2025-11-01
392.6781699275226,2025-12-01
365.4272723482872,2026-01-01
311.1002335174677,2026-02-01
340.76191954466015,2026-03-01
347.2618457307935,2026-04-01
399.68560045207687,2026-05-01
460.1131821888777,2026-06-01
472.99049760734977,2026-07-01
425.97285996963257,2026-08-01
379.7695557876744,2026-09-01
372.57838225003957,2026-10-01
449.0357463147221,2026-11-01
436.45308159295115,2026-12-01
