Date,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
20년1월_범죄건수,715,332,258,443,466,344,394,222,274,188,353,303,464,269,80,239,216,515,255,489,277,329,296,416,280
20년2월_범죄건수,508,287,242,373,365,251,262,264,274,166,259,215,307,178,63,164,186,337,265,395,209,242,228,267,275
20년3월_범죄건수,679,283,258,421,396,297,322,239,266,169,281,252,291,224,71,173,220,473,239,440,282,277,310,326,333
20년4월_범죄건수,604,264,252,330,456,276,310,193,306,176,292,227,300,199,62,194,217,475,238,412,291,259,211,230,292
20년5월_범죄건수,582,299,243,371,459,290,386,233,370,170,257,317,284,242,76,177,185,515,244,493,266,259,253,258,301
20년6월_범죄건수,631,330,253,371,441,298,367,224,308,202,282,260,256,201,60,221,200,474,260,439,237,317,280,286,316
20년7월_범죄건수,641,373,265,369,494,328,472,247,331,192,286,292,316,219,73,223,265,493,335,513,249,337,281,325,397
20년8월_범죄건수,651,357,222,380,2409,354,343,209,342,182,309,259,246,221,82,198,225,440,278,461,221,272,227,293,297
20년9월_범죄건수,296,89,210,139,252,116,295,362,341,184,245,316,123,196,286,393,804,346,99,358,291,759,418,316,226
20년10월_범죄건수,519,310,212,377,469,335,358,222,304,176,263,239,314,173,61,215,218,341,288,339,239,277,270,261,338
20년11월_범죄건수,592,312,182,297,431,240,300,186,301,176,227,303,276,197,64,192,220,466,233,435,229,262,218,235,265
20년12월_범죄건수,606,292,183,289,461,270,300,176,325,209,295,287,268,159,387,182,197,448,255,456,210,283,293,251,345
21년1월_범죄건수,438,242,141,258,304,205,207,184,214,117,214,178,256,168,224,124,162,325,211,288,153,230,167,180,230
21년2월_범죄건수,338,196,128,223,287,215,195,184,207,113,150,147,205,151,215,133,145,276,166,184,107,160,184,193,163
21년3월_범죄건수,487,265,167,286,331,272,295,170,250,154,228,193,277,182,335,164,185,392,252,360,168,253,218,227,272
21년4월_범죄건수,487,269,197,337,367,250,306,207,257,147,229,210,266,184,270,168,177,394,240,386,201,243,193,229,215
21년5월_범죄건수,514,271,210,327,399,255,301,218,292,159,282,260,275,155,232,176,185,366,259,331,176,232,228,261,241
21년6월_범죄건수,560,325,207,325,412,253,289,185,304,172,287,271,286,185,315,173,186,471,252,343,230,334,213,259,318
21년7월_범죄건수,549,321,224,343,433,280,264,230,331,170,302,238,296,204,338,191,220,413,229,408,261,279,266,266,310
21년8월_범죄건수,578,284,202,321,373,275,356,207,322,138,246,278,310,235,327,216,215,450,231,449,222,319,264,292,274
21년9월_범죄건수,495,325,206,328,322,191,313,213,302,129,251,218,290,190,262,159,208,367,283,324,189,306,246,266,295
21년10월_범죄건수,548,241,201,359,296,226,321,208,263,156,262,184,345,180,359,160,215,355,227,257,166,290,193,221,293
21년11월_범죄건수,634,375,227,387,470,353,313,198,398,237,252,215,401,219,493,239,268,478,357,483,247,312,298,254,348
21년12월_범죄건수,518,344,191,402,450,312,326,235,285,168,256,239,333,225,286,209,245,427,308,366,261,286,260,213,251
