Date,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구
22년1월_범죄건수,569,324,217,353,378,365,330,249,265,319,177,322,249,343,206,382,192,444,304,414,235,319,243,250,212
22년2월_범죄건수,398,222,152,262,284,180,221,144,175,212,92,159,153,240,173,294,109,271,175,282,169,214,187,181,181
22년3월_범죄건수,518,244,204,357,310,241,261,169,197,271,143,211,170,305,184,320,147,398,226,360,183,265,199,268,177
22년4월_범죄건수,534,273,231,379,392,308,284,165,211,275,181,238,201,309,157,347,191,411,281,377,177,277,211,324,218
22년5월_범죄건수,617,313,302,382,355,309,348,202,265,370,185,277,212,383,193,406,187,425,263,432,246,280,249,297,287
22년6월_범죄건수,579,325,295,416,423,338,391,252,283,358,181,342,280,334,222,395,213,489,296,435,298,328,266,323,300
22년7월_범죄건수,624,360,230,465,463,298,347,284,284,356,196,282,223,384,202,392,219,416,259,433,312,287,226,347,261
22년8월_범죄건수,643,329,262,433,489,286,372,238,288,340,183,303,241,328,211,339,221,470,347,412,274,312,150,202,206
22년9월_범죄건수,549,298,244,368,329,297,309,194,268,342,197,202,242,255,190,383,142,403,216,324,252,291,211,315,263
22년10월_범죄건수,580,270,240,471,395,292,361,247,232,327,183,293,248,324,188,380,180,431,255,335,245,325,237,348,272
22년11월_범죄건수,706,450,241,434,600,382,356,261,309,393,225,361,256,531,255,457,209,537,291,599,302,312,275,299,417
22년12월_범죄건수,630,303,214,343,461,323,277,172,294,333,198,263,260,360,193,364,184,472,256,416,274,277,208,312,257
