자치구,20년7월_살인,20년7월_강도,20년7월_강간/강제추행,20년7월_절도,20년7월_폭력
강남구,1,0,78,232,295
강동구,0,0,13,131,148
강북구,0,0,9,47,127
강서구,0,1,17,119,152
관악구,0,0,44,187,230
광진구,0,0,21,147,102
구로구,0,0,15,110,175
금천구,1,0,7,70,98
노원구,0,0,16,140,169
도봉구,0,0,7,84,118
동대문구,4,0,15,139,137
동작구,0,0,20,110,157
마포구,0,0,28,121,119
서대문구,0,0,17,37,105
서초구,0,1,35,164,187
성동구,1,0,13,88,80
성북구,0,0,8,73,116
송파구,0,1,30,213,204
양천구,1,1,9,112,132
영등포구,1,0,30,238,187
용산구,0,0,15,85,110
은평구,0,0,20,122,141
종로구,0,0,63,100,130
중구,0,0,15,119,117
중랑구,0,0,16,153,176
