자치구,20년1월_살인,20년2월_살인,20년3월_살인,20년4월_살인,20년5월_살인,20년6월_살인,20년7월_살인,20년8월_살인,20년9월_살인,20년10월_살인,20년11월_살인,20년12월_살인,21년1월_살인,21년2월_살인,21년3월_살인,21년4월_살인,21년5월_살인,21년6월_살인,21년7월_살인,21년8월_살인,21년9월_살인,21년10월_살인,21년11월_살인,21년12월_살인,22년1월_살인,22년2월_살인,22년3월_살인,22년4월_살인,22년5월_살인,22년6월_살인,22년7월_살인,22년8월_살인,22년9월_살인,22년10월_살인,22년11월_살인,22년12월_살인
강남구,0,0,1,0,0,0,1,0,1,2,0,1,1,0,0,1,1,2,1,1,2,2,0,1,0,0,1,0,2,3,0,1,3,1,1,0
강동구,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
강북구,0,1,0,0,1,3,1,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0
강서구,1,0,1,2,3,0,0,0,0,2,1,0,0,1,1,1,0,1,1,1,1,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0
관악구,1,1,0,1,0,2,1,3,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,3,0,1,0,1,2,0,0,1,2,1,0,2
광진구,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,2,1
구로구,0,0,3,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,1,1,1,0,3,0,1,1,1,2
금천구,0,1,1,1,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0
노원구,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
도봉구,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
동대문구,0,0,1,0,0,0,0,0,0,0,3,4,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
동작구,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0
마포구,0,1,0,1,2,0,1,3,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
서대문구,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
서초구,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,1,0,1,0,0,1,1,3,0,1,0,0,0,1,1,1,1,0,0,0,0
성동구,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
성북구,0,0,0,0,0,0,1,1,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
송파구,2,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
양천구,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
영등포구,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1
용산구,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0
은평구,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1,0
종로구,2,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0
중구,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
중랑구,1,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
