자치구,20년1월_강도,20년2월_강도,20년3월_강도,20년4월_강도,20년5월_강도,20년6월_강도,20년7월_강도,20년8월_강도,20년9월_강도,20년10월_강도,20년11월_강도,20년12월_강도,21년1월_강도,21년2월_강도,21년3월_강도,21년4월_강도,21년5월_강도,21년6월_강도,21년7월_강도,21년8월_강도,21년9월_강도,21년10월_강도,21년11월_강도,21년12월_강도,22년1월_강도,22년2월_강도,22년3월_강도,22년4월_강도,22년5월_강도,22년6월_강도,22년7월_강도,22년8월_강도,22년9월_강도,22년10월_강도,22년11월_강도,22년12월_강도
강남구,1,1,1,0,2,2,2,3,1,2,0,0,0,1,5,2,0,4,2,3,5,1,1,1,0,1,1,0,1,2,2,1,1,0,1,1
강동구,1,1,3,1,5,2,0,0,0,1,1,0,1,0,0,1,1,0,2,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0
강북구,2,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,0
강서구,1,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,3,0,2,0
관악구,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,1,0,1,0,1,1,2,0,1,0,0,0,1,2,1
광진구,0,0,0,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
구로구,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,2,0,2,1,0,0,0,0,0,0
금천구,1,0,1,0,3,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
노원구,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,1,1,0,0,1,0,0
도봉구,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2
동대문구,0,2,0,2,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
동작구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
마포구,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1
서대문구,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
서초구,1,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,0,2,0,0,0
성동구,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
성북구,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
송파구,0,2,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,2,0,0,1,0,0,0,1,0,0,0,1,1,1
양천구,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
영등포구,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,8,0,1,0,0,0,0,0,0,0,1,0,2,1,1,1,3,1,0,0
용산구,0,2,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,1
은평구,0,1,0,0,2,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,0,1,0,0
종로구,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
중구,0,0,2,0,0,0,1,0,0,1,1,0,0,1,2,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
중랑구,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,4,0,1,0,0,0
