자치구,20년_범죄총합,21년_범죄총합,22년_범죄총합
강남구,7024,6146,6947
강동구,3528,3458,3711
강북구,2780,2301,2832
강서구,4160,3896,4663
관악구,7099,4444,4879
광진구,3399,3087,3619
구로구,4109,3486,3857
금천구,2777,2439,2577
노원구,3742,3425,3071
도봉구,2190,1860,3896
동대문구,3349,2959,2141
동작구,3270,2631,3253
마포구,3445,3540,2735
서대문구,2478,2278,4096
서초구,1365,3656,2374
성동구,2571,2112,4459
성북구,3153,2411,2194
송파구,5323,4714,5167
양천구,2989,3015,3169
영등포구,5230,4179,4819
용산구,3001,2381,2967
은평구,3873,3244,3487
종로구,3285,2730,2662
중구,3464,2861,3466
중랑구,3665,3210,3051
