자치구,2020_20대_남자,2020_30대_남자,2020_40대_남자,2020_50대_남자,2021_20대_남자,2021_30대_남자,2021_40대_남자,2021_50대_남자,2022_20대_남자,2022_30대_남자,2022_40대_남자,2022_50대_남자,2020_20대_여자,2020_30대_여자,2020_40대_여자,2020_50대_여자,2021_20대_여자,2021_30대_여자,2021_40대_여자,2021_50대_여자,2022_20대_여자,2022_30대_여자,2022_40대_여자,2022_50대_여자,2020_세대수,2020_한국인,2020_등록외국인,2020_고령자,2021_세대수,2021_한국인,2021_등록외국인,2021_고령자,2022_세대수,2022_한국인,2022_등록외국인,2022_고령자,총범죄건수
강남구,5736,10181,5750,3512,5733,10501,6018,4008,5765,10686,6172,4122,9075,11286,5804,3340,9053,11137,6178,3637,9033,11018,6384,3806,234872,539231,4824,75096,234233,533042,4758,78226,232777,529102,5001,81715,20117
강동구,3599,6026,4357,4360,4321,6713,4572,4672,4389,6974,4557,4813,5362,4755,3172,3117,6610,5482,3412,3341,6903,5891,3571,3405,196499,459970,4028,70019,201613,462664,3808,74070,202169,460067,3970,78340,10697
강북구,3119,3973,3644,4240,3387,4239,3642,4447,3639,4485,3679,4569,4812,2738,2420,3238,5090,2944,2389,3260,5545,3146,2389,3405,145896,308055,3514,63422,144536,299182,3381,64333,144313,293660,4042,66307,7913
강서구,7431,12363,6444,5323,8264,13593,6877,5584,8684,14599,7188,5797,12654,9712,4808,4532,14150,11191,5138,4655,15006,12501,5447,4687,266982,580185,5716,88984,271175,574315,5453,92558,273697,569166,5472,97128,12719
관악구,24849,20454,8698,6451,25945,21558,9189,6902,27855,23214,9407,7145,27375,12690,4638,3960,28679,13554,4812,4071,30625,14745,5096,4217,274811,495060,14743,78875,276597,485699,13750,79871,283623,486752,14474,82447,16422
광진구,8938,7779,4310,4100,9453,8395,4438,4320,9831,9126,4413,4300,11594,6904,3258,3010,12301,7407,3373,3026,12671,7989,3579,3145,167427,346682,13427,50560,167949,339996,12631,51723,169291,337416,13836,54071,10105
구로구,4476,6645,4490,4330,4928,7304,4575,4550,5289,7999,4677,4571,5870,4593,2779,2785,6434,5050,2830,2890,7243,5559,2970,2924,180531,404408,28080,70198,180929,396754,24409,72611,183655,395315,23103,75890,11452
금천구,4625,6108,3561,4205,5257,6894,3712,4345,5704,7582,3766,4375,5181,3225,1888,2400,6168,3810,1952,2481,6819,4487,1988,2533,114715,231733,16102,39842,117595,230811,14080,41041,119583,229642,13176,42928,7793
노원구,5161,4292,3699,3825,5566,4911,3774,4075,5585,5067,3802,4081,5597,3138,3165,3964,5797,3608,3260,4098,5920,3744,3332,4174,218270,523037,3995,85489,217378,510956,3990,88345,217540,503734,4280,92040,10238
도봉구,1741,2878,2783,3191,1917,3256,2907,3293,1948,3440,2888,3450,2687,2085,2066,2816,3042,2347,2139,2931,3140,2548,2217,2958,139114,325257,2104,62059,138656,317366,2007,64160,138356,311694,2295,66998,7946
동대문구,10168,5918,4000,4078,11006,6431,4097,4283,11273,6864,4125,4332,11038,4141,2538,2538,12382,4531,2633,2540,12747,4972,2673,2653,167598,342837,14177,61796,168219,337400,14606,62211,169873,336644,16957,64468,8449
동작구,10444,8266,4031,3075,11117,8968,4269,3272,11802,9519,4316,3418,12301,6111,2897,2548,12940,6735,2987,2691,13532,7057,3178,2731,184229,391220,10352,65190,184812,385483,8881,66613,185773,380596,9836,68231,9154
마포구,8305,8398,4291,2851,8895,9099,4408,3049,8876,9606,4599,3158,11892,8562,4278,2692,12614,9049,4443,2889,13154,9495,4592,3109,178482,371890,9968,54331,179861,368905,9781,54582,180084,364638,10947,55914,9720
서대문구,7253,4858,2850,2674,7827,5228,3008,2838,7849,5481,3017,2857,10674,4149,2461,2313,11118,4455,2476,2459,10957,4722,2622,2615,144838,312173,10779,54204,143647,304819,10840,54268,145797,306337,13217,55996,8852
서초구,3771,6391,3572,2491,3879,6764,3766,2693,3780,6881,3817,2813,5673,6162,3508,2443,5669,6434,3757,2587,5431,6516,3874,2722,173502,425126,3899,60169,170244,412279,3888,60678,167749,404325,4126,62347,7395
성동구,5789,4873,3196,3206,6139,5298,3237,3311,6386,5394,3228,3290,6113,3844,2458,2142,6489,4072,2547,2232,6731,4272,2603,2266,135870,293556,6949,45603,134233,285990,6682,46380,133305,281000,7234,47720,9142
성북구,8921,5471,3685,3770,9546,6059,3832,3805,9652,6305,3750,3937,12046,4163,2892,2944,12520,4621,3050,3092,12481,4695,3134,3285,195396,437153,9903,73770,195017,430528,9614,74709,197082,430397,11587,77475,7758
