ÀÏ½Ã,°­¼ö·®(mm),Æò±Õ±â¿Â(¡É),Æò±ÕÇ³¼Ó(m/s),Æò±Õ½Àµµ(%rh)
202001,60.5,1.6,2.1,56.0
202002,53.1,2.5,2.3,58.0
202003,16.3,7.7,2.5,46.0
202004,16.9,11.1,3.0,50.0
202005,112.4,18.0,2.4,67.0
202006,139.6,23.9,2.3,68.0
202007,270.4,24.1,2.4,77.0
202008,675.7,26.5,2.3,85.0
202009,181.5,21.4,2.5,71.0
202010,0.0,14.3,2.1,61.0
202011,120.1,8.0,2.2,64.0
202012,4.6,-0.3,2.2,58.0
202101,18.9,-2.4,2.5,58.0
202102,7.1,2.7,2.6,56.0
202103,110.9,9.0,2.4,63.0
202104,124.1,14.2,2.6,54.0
202105,183.1,17.1,2.4,68.0
202106,104.6,22.8,2.2,73.0
202107,168.3,28.1,2.0,71.0
202108,211.2,25.9,2.1,74.0
202109,131.0,22.6,2.3,71.0
202110,57.0,15.6,2.1,70.0
202111,62.4,8.2,2.1,68.0
202112,7.9,0.6,2.3,62.0
202201,5.5,-2.2,2.2,55.0
202202,4.7,-1.1,2.6,55.0
202203,102.6,7.7,2.5,62.0
202204,20.4,14.8,2.7,55.0
202205,7.5,19.1,2.6,55.0
202206,393.8,23.3,2.5,73.0
202207,252.3,27.3,2.1,77.0
202208,564.8,25.7,2.3,80.0
202209,201.5,22.4,2.4,68.0
202210,124.1,14.6,2.2,69.0
202211,84.5,10.0,2.1,65.0
202212,13.6,-2.8,2.3,59.0
