일시,일최다강수량(mm),평균최고기온(℃),평균최저기온(℃),최대풍속(m/s),최저습도(%rh)
202001,46.3,5.9,-1.7,7.0,17.0
202002,16.6,7.2,-1.3,8.2,14.0
202003,11.8,13.3,2.6,8.2,11.0
202004,10.3,16.6,6.3,8.9,10.0
202005,29.8,23.3,13.7,7.2,11.0
202006,64.7,29.0,19.9,7.6,26.0
202007,103.1,28.0,21.1,8.7,34.0
202008,102.6,29.3,24.4,8.3,49.0
202009,61.0,25.6,18.0,9.8,27.0
202010,0.0,19.5,9.6,7.2,20.0
202011,86.9,12.6,4.0,8.4,18.0
202012,2.9,3.9,-4.2,6.5,24.0
202101,9.2,2.2,-6.8,8.7,19.0
202102,3.4,7.9,-2.2,7.5,18.0
202103,67.5,14.8,4.3,6.9,19.0
202104,56.2,19.5,9.5,7.1,18.0
202105,66.9,21.9,12.8,8.4,25.0
202106,38.2,27.6,18.9,7.8,36.0
202107,67.4,32.2,24.6,7.4,37.0
202108,77.4,29.7,22.8,8.3,39.0
202109,68.1,26.9,18.8,7.1,38.0
202110,14.2,20.5,11.6,10.6,25.0
202111,27.2,13.1,4.0,9.3,27.0
202112,2.8,5.1,-3.5,8.1,26.0
202201,1.7,2.6,-6.2,7.6,21.0
202202,1.7,3.8,-5.3,7.4,21.0
202203,42.1,12.7,3.2,8.8,15.0
202204,15.5,20.6,10.0,8.4,17.0
202205,3.5,25.0,13.9,7.6,16.0
202206,176.2,27.5,19.8,9.9,18.0
202207,114.5,31.0,24.2,5.6,46.0
202208,129.6,28.9,23.1,8.6,39.0
202209,120.0,27.2,18.2,8.0,29.0
202210,76.0,19.7,10.3,6.8,25.0
202211,57.9,15.4,5.6,6.5,23.0
202212,5.4,1.7,-6.6,7.4,21.0
