자치구별(2),성별(1),2020_20대,2020_30대,2020_40대,2020_50대,2021_20대,2021_30대,2021_40대,2021_50대,2022_20대,2022_30대,2022_40대,2022_50대
강남구,여자,9075,11286,5804,3340,9053,11137,6178,3637,9033,11018,6384,3806
강남구,남자,5736,10181,5750,3512,5733,10501,6018,4008,5765,10686,6172,4122
강동구,여자,5362,4755,3172,3117,6610,5482,3412,3341,6903,5891,3571,3405
강동구,남자,3599,6026,4357,4360,4321,6713,4572,4672,4389,6974,4557,4813
강북구,여자,4812,2738,2420,3238,5090,2944,2389,3260,5545,3146,2389,3405
강북구,남자,3119,3973,3644,4240,3387,4239,3642,4447,3639,4485,3679,4569
강서구,여자,12654,9712,4808,4532,14150,11191,5138,4655,15006,12501,5447,4687
강서구,남자,7431,12363,6444,5323,8264,13593,6877,5584,8684,14599,7188,5797
관악구,여자,27375,12690,4638,3960,28679,13554,4812,4071,30625,14745,5096,4217
관악구,남자,24849,20454,8698,6451,25945,21558,9189,6902,27855,23214,9407,7145
광진구,여자,11594,6904,3258,3010,12301,7407,3373,3026,12671,7989,3579,3145
광진구,남자,8938,7779,4310,4100,9453,8395,4438,4320,9831,9126,4413,4300
구로구,여자,5870,4593,2779,2785,6434,5050,2830,2890,7243,5559,2970,2924
구로구,남자,4476,6645,4490,4330,4928,7304,4575,4550,5289,7999,4677,4571
금천구,여자,5181,3225,1888,2400,6168,3810,1952,2481,6819,4487,1988,2533
금천구,남자,4625,6108,3561,4205,5257,6894,3712,4345,5704,7582,3766,4375
노원구,여자,5597,3138,3165,3964,5797,3608,3260,4098,5920,3744,3332,4174
노원구,남자,5161,4292,3699,3825,5566,4911,3774,4075,5585,5067,3802,4081
도봉구,여자,2687,2085,2066,2816,3042,2347,2139,2931,3140,2548,2217,2958
도봉구,남자,1741,2878,2783,3191,1917,3256,2907,3293,1948,3440,2888,3450
동대문구,여자,11038,4141,2538,2538,12382,4531,2633,2540,12747,4972,2673,2653
동대문구,남자,10168,5918,4000,4078,11006,6431,4097,4283,11273,6864,4125,4332
동작구,여자,12301,6111,2897,2548,12940,6735,2987,2691,13532,7057,3178,2731
동작구,남자,10444,8266,4031,3075,11117,8968,4269,3272,11802,9519,4316,3418
마포구,여자,11892,8562,4278,2692,12614,9049,4443,2889,13154,9495,4592,3109
마포구,남자,8305,8398,4291,2851,8895,9099,4408,3049,8876,9606,4599,3158
서대문구,여자,10674,4149,2461,2313,11118,4455,2476,2459,10957,4722,2622,2615
서대문구,남자,7253,4858,2850,2674,7827,5228,3008,2838,7849,5481,3017,2857
서초구,여자,5673,6162,3508,2443,5669,6434,3757,2587,5431,6516,3874,2722
서초구,남자,3771,6391,3572,2491,3879,6764,3766,2693,3780,6881,3817,2813
성동구,여자,6113,3844,2458,2142,6489,4072,2547,2232,6731,4272,2603,2266
성동구,남자,5789,4873,3196,3206,6139,5298,3237,3311,6386,5394,3228,3290
성북구,여자,12046,4163,2892,2944,12520,4621,3050,3092,12481,4695,3134,3285
성북구,남자,8921,5471,3685,3770,9546,6059,3832,3805,9652,6305,3750,3937
송파구,여자,9155,10196,5363,4086,9960,10955,5632,4288,9817,11542,5889,4502
송파구,남자,5916,10675,6114,4643,6318,11258,6469,4965,6366,11850,6599,5075
양천구,여자,2948,3064,2462,2748,3355,3486,2523,2907,3589,3735,2603,2990
양천구,남자,2333,4267,3200,3451,2581,4767,3318,3558,2665,5089,3411,3652
영등포구,여자,9780,7215,3260,2691,11042,8257,3428,2890,11961,9154,3601,2933
영등포구,남자,7260,10209,4950,4566,7879,11268,5132,4783,8167,12060,5242,4820
용산구,여자,5143,4373,2520,1873,5594,4855,2625,1997,5783,5409,2692,2071
용산구,남자,3166,5287,3012,2501,3422,5806,3105,2620,3485,6207,3216,2614
은평구,여자,6436,5388,3751,3801,7300,5920,3951,3999,7808,6384,4058,4108
은평구,남자,4238,6284,4525,4168,4589,6743,4571,4438,4616,7050,4711,4583
종로구,여자,4004,2197,1502,1345,4311,2338,1542,1445,4575,2539,1549,1471
종로구,남자,3438,2707,1757,2011,3488,2882,1768,2095,3656,2908,1760,2044
중구,여자,3095,2140,1280,1252,3568,2462,1344,1247,3420,2629,1413,1297
중구,남자,2387,2533,1713,1828,2456,2806,1749,1902,2293,3064,1742,1874
중랑구,여자,5082,4440,3062,3957,5689,4838,3251,3995,6489,5371,3332,4057
중랑구,남자,3856,5951,4842,6295,4116,6380,4828,6457,4374,6822,4857,6485
