"		지점번호",지점명,일시,평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),"	최대풍속일자",최대순간풍속(m/s),최대순간풍속풍향(deg),"	최대순간풍속일자","	"
"		108",서울,Jan-20,2.1,7,70,2020-01-27,13.7,90,2020-01-27,
"		108",서울,Feb-20,2.3,8.2,320,2020-02-22,14.4,290,2020-02-22,
"		108",서울,Mar-20,2.5,8.2,250,2020-03-19,16.3,270,2020-03-19,
"		108",서울,Apr-20,3,8.9,290,2020-04-21,17,230,2020-04-21,
"		108",서울,May-20,2.4,7.2,70,2020-05-19,16.4,290,2020-05-18,
"		108",서울,Jun-20,2.3,7.6,50,2020-06-30,14.5,50,2020-06-30,
"		108",서울,Jul-20,2.4,8.7,50,2020-07-24,16.1,50,2020-07-24,
"		108",서울,Aug-20,2.3,8.3,180,2020-08-03,15.6,140,2020-08-27,
"		108",서울,Sep-20,2.5,9.8,270,2020-09-03,21.5,290,2020-09-03,
"		108",서울,Oct-20,2.1,7.2,320,2020-10-04,13.7,320,2020-10-04,
"		108",서울,Nov-20,2.2,8.4,290,2020-11-03,15.6,290,2020-11-03,
"		108",서울,Dec-20,2.2,6.5,290,2020-12-24,11.7,290,2020-12-24,
"		108",서울,Jan-21,2.5,8.7,250,2021-01-28,17.5,270,2021-01-28,
"		108",서울,Feb-21,2.6,7.5,270,2021-02-17,15.8,270,2021-02-17,
"		108",서울,Mar-21,2.4,6.9,230,2021-03-22,14.8,320,2021-03-21,
"		108",서울,Apr-21,2.6,7.1,290,2021-04-17,12.5,180,2021-04-17,
"		108",서울,May-21,2.4,8.4,200,2021-05-08,16,270,2021-05-30,
"		108",서울,Jun-21,2.2,7.8,200,2021-06-27,15,180,2021-06-22,
"		108",서울,Jul-21,2,7.4,50,2021-07-16,16.5,360,2021-07-16,
"		108",서울,Aug-21,2.1,8.3,320,2021-08-06,16.4,290,2021-08-06,
"		108",서울,Sep-21,2.3,7.1,320,2021-09-21,12.5,110,2021-09-20,
"		108",서울,Oct-21,2.1,10.6,290,2021-10-01,20.9,320,2021-10-01,
"		108",서울,Nov-21,2.1,9.3,270,2021-11-08,16.6,270,2021-11-08,
"		108",서울,Dec-21,2.3,8.1,290,2021-12-17,15.2,320,2021-12-17,
"		108",서울,Jan-22,2.2,7.6,270,2022-01-13,13.9,320,2022-01-13,
"		108",서울,Feb-22,2.6,7.4,250,2022-02-27,14.5,290,2022-02-26,
"		108",서울,Mar-22,2.5,8.8,180,2022-03-04,18.5,180,2022-03-04,
"		108",서울,Apr-22,2.7,8.4,50,2022-04-13,14.5,50,2022-04-13,
"		108",서울,May-22,2.6,7.6,200,2022-05-26,14.1,230,2022-05-01,
"		108",서울,Jun-22,2.5,9.9,200,2022-06-28,20.9,180,2022-06-28,
"		108",서울,Jul-22,2.1,5.6,160,2022-07-30,11.6,230,2022-07-06,
"		108",서울,Aug-22,2.3,8.6,200,2022-08-08,24.9,180,2022-08-08,
"		108",서울,Sep-22,2.4,8,50,2022-09-14,18.3,20,2022-09-05,
"		108",서울,Oct-22,2.2,6.8,270,2022-10-10,13.7,200,2022-10-03,
"		108",서울,Nov-22,2.1,6.5,290,2022-11-30,12,270,2022-11-29,
"		108",서울,Dec-22,2.3,7.4,290,2022-12-13,15,290,2022-12-22,
"		",,,,,,,,,,
"		",,,,,,,,,,
"	",,,,,,,,,,
"	",,,,,,,,,,
